Top pages,Clicks,Impressions,CTR,Position
https://newcollab.co/blog/the-2025-list-of-aussie-brands-that-send-pr-packages-for-australian-creators,213,3242,6.57%,6.47
https://newcollab.co/blog/pr-list-for-clothing-brands-micro-influencers-2025,126,3457,3.64%,7.95
https://newcollab.co/blog/ultimate-2026-directory-brands-with-open-pr-application-forms,87,1740,5%,9.2
https://newcollab.co/blog/aussie-brands-pr-package-list-2026,66,1129,5.85%,7.68
https://newcollab.co/blog/companies-with-open-pr-application-forms-influencers-2025,58,1542,3.76%,10.8
https://newcollab.co/blog/ultimate-list-of-gaming-tech-companies-that-sponsor-small-streamers,31,2562,1.21%,7.5
https://newcollab.co/,22,363,6.06%,5.94
https://newcollab.co/blog/list-of-companies-that-send-pr-packages-2025,18,1227,1.47%,13.38
https://newcollab.co/blog/10-sustainable-eco-friendly-brands-looking-for-creator-partnerships,16,702,2.28%,10.87
https://newcollab.co/blog/how-to-get-gaming-sponsorships-small-streamers-2026-guide,14,1201,1.17%,9.53
https://newcollab.co/blog/5-copy-paste-pr-offer-email-templates-for-brands,8,717,1.12%,22.46
https://newcollab.co/blog/us-brands-send-pr-micro-influencers-2026-list,8,573,1.4%,9.42
https://newcollab.co/blog/15-beauty-brands-actively-sending-pr-to-micro-influencers-2025,4,1167,0.34%,11.41
https://newcollab.co/blog/pr-package-roi-calculator-micro-influencer-pr-cost-2025,4,209,1.91%,6.92
https://newcollab.co/blog/definitive-guide-small-influencers-how-to-get-pr-packages,3,1114,0.27%,13.07
https://newcollab.co/blog/how-to-make-a-good-pr-package-brand-guide-2026,3,178,1.69%,13.02
https://newcollab.co/blog/skincare-pr-list-small-creators-2026,2,399,0.5%,14.99
https://newcollab.co/blog/10-creative-pr-package-ideas-micro-influencers-love-to-unbox-2026,2,281,0.71%,9.57
https://newcollab.co/blog/pr-lists-by-category-top-clothing-skincare-food-brands-for-creators,2,67,2.99%,8.36
https://newcollab.co/blog/what-does-paid-partnership-mean-guide-2026,1,648,0.15%,11.71
https://newcollab.co/blog/ultimate-list-small-influencers-seeking-pr-packages-2025,1,642,0.16%,8.37
https://newcollab.co/about,1,144,0.69%,7.31
https://newcollab.co/brands/pr-packages,1,100,1%,18.39
https://newcollab.co/blog/how-to-get-paid-partnership-on-tiktok-2025,1,20,5%,9.8
https://newcollab.co/blog/7-step-checklist-to-get-pr-packages-for-small-influencers,0,688,0%,17.36
https://newcollab.co/blog/paid-partnership-meaning-tiktok-2025,0,412,0%,11.59
https://newcollab.co/blog/pr-list-for-clothing-brands-micro-influencers-2025#top-clothing-brands-sending-pr-in-2025,0,348,0%,7.01
https://newcollab.co/blog/pr-list-for-clothing-brands-micro-influencers-2025#how-to-pitch-clothing-brands-successfully,0,248,0%,7.24
https://newcollab.co/blog/pr-list-for-clothing-brands-micro-influencers-2025#why-fashion-brands-love-micro-influencers,0,225,0%,7.31
https://newcollab.co/blog/pr-list-for-clothing-brands-micro-influencers-2025#fashion-brand-categories-strategies,0,223,0%,6.78
https://newcollab.co/blog/paid-partnership-meaning-explained-2025,0,212,0%,26.56
https://newcollab.co/blog/how-to-send-pr-packages-to-small-influencers-brand-guide-2025,0,208,0%,15.31
https://newcollab.co/blog/ultimate-2026-directory-brands-with-open-pr-application-forms#why-application-forms-are-game-changers,0,171,0%,6.6
https://newcollab.co/blog/ultimate-2026-directory-brands-with-open-pr-application-forms#beauty-skincare-brands,0,159,0%,6.67
https://newcollab.co/blog/ultimate-2026-directory-brands-with-open-pr-application-forms#application-types-explained,0,141,0%,6.89
https://newcollab.co/blog/ultimate-2026-directory-brands-with-open-pr-application-forms#fashion-apparel-brands,0,137,0%,6.85
https://newcollab.co/blog/how-to-monetize-instagram-reels-small-creator-2025,0,96,0%,13.03
https://newcollab.co/blog/5-copy-paste-pr-pitch-templates-get-replies-micro-influencers,0,90,0%,13.53
https://newcollab.co/blog/how-to-get-sponsored-by-brands-2025,0,87,0%,16.2
https://newcollab.co/login,0,76,0%,6.97
https://newcollab.co/blog/ultimate-guide-creator-analytics-metrics-2025,0,70,0%,7.26
https://newcollab.co/blog/aussie-brands-pr-package-list-2026#brands-with-open-pr-applications,0,69,0%,4.77
https://newcollab.co/blog/aussie-brands-pr-package-list-2026#list-of-aussie-brands-sending-pr-packages,0,69,0%,4.77
https://newcollab.co/blog/brands-micro-influencers-2025,0,68,0%,8.54
https://newcollab.co/blog/aussie-brands-pr-package-list-2026#how-much-can-small-influencers-earn-from-pr-packages,0,65,0%,4.52
https://newcollab.co/blog,0,64,0%,7.41
https://newcollab.co/blog/macro-vs-micro-influencer-pr-strategy-2025,0,62,0%,7.16
https://newcollab.co/blog/how-to-monetize-tiktok-small-creator-2025,0,54,0%,8.15
https://newcollab.co/blog/aussie-brands-pr-package-list-2026#the-agency-list-secret,0,51,0%,4.98
https://newcollab.co/blog/aussie-brands-pr-package-list-2026#why-aussie-brands-love-small-influencers,0,47,0%,4.66
https://newcollab.co/blog/negotiate-ugc-deals,0,46,0%,7.28
https://newcollab.co/blog/how-influencers-make-money-2025,0,44,0%,7.52
https://newcollab.co/blog/how-influencers-get-brand-deals-2025,0,44,0%,9.43
https://newcollab.co/blog/micro-influencer-ugc,0,42,0%,15
https://newcollab.co/blog/tiktok-shop-for-creators-2025,0,41,0%,11.32
https://newcollab.co/blog/companies-work-with-micro-influencers-2025,0,40,0%,30.77
https://newcollab.co/blog/the-3-email-follow-up-sequence-that-gets-replies-from-brands,0,39,0%,11
https://newcollab.co/blog/how-to-fill-out-a-brands-pr-application-to-guarantee-a-yes,0,38,0%,11.5
https://newcollab.co/blog/companies-with-open-pr-application-forms-influencers-2025#fashion-lifestyle-brands-with-application-forms,0,37,0%,9.27
https://newcollab.co/blog/companies-with-open-pr-application-forms-influencers-2025#beauty-skincare-brands-with-application-forms,0,36,0%,9.28
https://newcollab.co/blog/brands-looking-for-micro-influencers-2025,0,35,0%,10.51
https://newcollab.co/blog/companies-with-open-pr-application-forms-influencers-2025#tech-gaming-brands-with-application-forms,0,34,0%,9.32
https://newcollab.co/blog/companies-with-open-pr-application-forms-influencers-2025#application-types-explained,0,33,0%,9.33
https://newcollab.co/blog/companies-with-open-pr-application-forms-influencers-2025#how-to-ace-your-application-forms,0,33,0%,9.33
https://newcollab.co/blog/companies-with-open-pr-application-forms-influencers-2025#why-application-forms-are-game-changers,0,33,0%,9.33
https://newcollab.co/blog/secure-influencer-brand-deals-2025,0,30,0%,6.67
https://newcollab.co/blog/brands-looking-for-ambassadors-2025,0,29,0%,8.83
https://newcollab.co/blog/calculate-your-true-influencer-marketing-roi-cost-of-time-analysis,0,29,0%,35.45
https://newcollab.co/blog/pr-email-follow-ups-for-brands-2025,0,27,0%,7.56
https://newcollab.co/blog/how-to-secure-tiktok-paid-partnerships-2025,0,27,0%,8.85
https://newcollab.co/blog/scaling-beyond-your-first-5-influencers-without-hiring-agency,0,24,0%,7.17
https://newcollab.co/register,0,22,0%,6.45
https://newcollab.co/blog/free-creator-pr-list-skincare-fashion-beauty-2026,0,22,0%,8.09
https://newcollab.co/blog/travel-micro-influencer-brands-2025,0,21,0%,10.9
https://newcollab.co/blog/how-to-monetize-podcast-small-creator-2025,0,16,0%,7.25
https://newcollab.co/terms-of-service,0,16,0%,7.81
https://newcollab.co/blog/how-to-create-high-impact-media-kit-under-30-minutes-free-template,0,16,0%,12.94
https://newcollab.co/blog/how-to-be-selected-for-tiktok-shop-creator-pilot-2025,0,14,0%,10.29
https://newcollab.co/blog/collaborate-brands-influencer-2025,0,13,0%,8.85
https://newcollab.co/contact,0,11,0%,5.82
https://newcollab.co/blog/how-to-build-a-personal-brand-as-a-creator-2025,0,11,0%,7.73
https://newcollab.co/blog/find-brands-ugc-collaborations,0,11,0%,23.55
https://newcollab.co/blog/tiktok-micro-influencer-deals-2025,0,9,0%,5.56
https://newcollab.co/blog/long-term-micro-influencer-partnerships-2025,0,9,0%,9.56
https://newcollab.co/blog/parenting-micro-influencer-brands-2025,0,8,0%,6.75
https://newcollab.co/blog/grow-social-media-following,0,8,0%,7.38
https://newcollab.co/blog/brands-that-work-with-micro-influencers-2025,0,7,0%,5.29
https://newcollab.co/privacy-policy,0,7,0%,7.71
https://newcollab.co/blog/how-to-find-and-match-with-small-influencers-for-pr-packages-step-by-step,0,7,0%,9.57
https://newcollab.co/blog/top-micro-influencer-brands-2025,0,7,0%,10.43
https://newcollab.co/blog/how-to-pitch-brands-as-creator-2025,0,6,0%,7.17
https://newcollab.co/blog/how-to-build-personal-brand-content-creator-2025,0,5,0%,10.6
https://newcollab.co/blog/how-to-get-gaming-sponsorships-small-streamers-2026-guide#how-much-can-small-streamers-earn-from-gaming-sponsorships,0,5,0%,10.8
https://newcollab.co/brands/send-pr-packages,0,4,0%,5.5
https://newcollab.co/blog/how-to-monetize-social-media-content-2025,0,4,0%,7
https://newcollab.co/blog/reach-out-brands-influencer-2025,0,4,0%,8.25
https://newcollab.co/blog/how-to-get-sponsored-as-creator-2025,0,4,0%,8.75
https://newcollab.co/blog/tiktok-ugc-trends,0,4,0%,8.75
https://newcollab.co/blog/micro-influencer-brand-deals-2025,0,4,0%,10
https://newcollab.co/blog/how-to-get-gaming-sponsorships-small-streamers-2026-guide#a-5-step-strategy-to-get-gaming-sponsorships-in-2026,0,4,0%,11
https://newcollab.co/blog/creator-content-automation-2025,0,3,0%,1
https://newcollab.co/blog/small-brands-micro-influencers-2025,0,3,0%,8.67
https://newcollab.co/blog/how-to-get-gaming-sponsorships-small-streamers-2026-guide#what-gaming-brands-actually-want-from-small-streamers,0,3,0%,10.67
https://newcollab.co/blog/what-does-paid-partnership-mean-on-tiktok-2025,0,3,0%,18.67
https://newcollab.co/blog/get-brands-to-sponsor-content-idea-2025,0,3,0%,23.33
https://newcollab.co/missions/superprof,0,2,0%,8
https://newcollab.co/blog/creator-economy-trends-2025,0,2,0%,9
https://newcollab.co/blog/content-marketplace-for-creators-2025,0,1,0%,2
https://newcollab.co/register/creator,0,1,0%,2
https://newcollab.co/blog/creator-community-building-2025,0,1,0%,4
https://newcollab.co/blog/get-paid-what-you-worth-creator-2025,0,1,0%,5
https://newcollab.co/blog/stop-buying-followers-start-bidding-on-ideas-newcollab-advantage,0,1,0%,9
