Top queries,Clicks,Impressions,CTR,Position
newcollab,14,54,25.93%,1.07
pr packages australia,12,175,6.86%,6.06
pr list application,11,299,3.68%,16.35
how to get pr packages in australia,9,279,3.23%,6.86
pr package application form,9,89,10.11%,6.94
pr package forms,8,81,9.88%,9.63
pr forms of brands,7,79,8.86%,9.51
free pr packages australia,7,44,15.91%,7.68
pr package application,6,122,4.92%,10.38
list of companies that send pr packages,6,115,5.22%,8.76
pr list application form,5,90,5.56%,10.76
brand pr application,5,21,23.81%,6.95
pr brands,4,53,7.55%,14.64
clothing brands that send pr,4,26,15.38%,6.73
pr forms for brands,3,65,4.62%,7.88
pr emails for clothing brands,3,55,5.45%,6.4
companies that send pr packages,3,47,6.38%,21.68
clothing pr,3,41,7.32%,12.56
pr application for brands,3,38,7.89%,5.68
pr clothing brands,3,26,11.54%,8.62
brands that send pr,2,32,6.25%,14.94
how to get pr packages in australia for free,2,28,7.14%,7.61
brand pr forms,2,27,7.41%,8.93
brand pr list application,2,12,16.67%,9.42
how to get on pr lists australia,2,12,16.67%,10.83
clothing pr emails,2,10,20%,5.5
pr package list,2,5,40%,24.8
pr collaboration form,2,3,66.67%,16
pr packages,1,39,2.56%,11.51
brands pr forms,1,34,2.94%,6.21
list of companies that send pr packages for influencers,1,28,3.57%,8.64
pr package australia,1,27,3.7%,8.04
pr packages for influencers,1,16,6.25%,48.62
colourpop,1,11,9.09%,7.73
pr package applications,1,10,10%,10
clothing brand emails for pr,1,8,12.5%,2.75
how much do pr packages cost,1,8,12.5%,8.5
clothing brand pr emails,1,6,16.67%,5.67
free pr lists to join,1,6,16.67%,8
brands that send pr to micro influencers,1,6,16.67%,45.17
clothing brands that send pr to small influencers,1,5,20%,30.6
brand pr list,1,4,25%,11.5
mecca pr list,1,3,33.33%,6.67
forms for pr package,1,2,50%,8
pr package websites,1,2,50%,33
brands that send pr to sororities,1,2,50%,34.5
twitch streamer sponsorships,1,2,50%,46
brands to get pr from,1,1,100%,2
companies to reach out to for pr,1,1,100%,3
best pr packages,1,1,100%,4
mecca,1,1,100%,4
lululemon,1,1,100%,5
free packages from brands,1,1,100%,7
mecca cosmetica,1,1,100%,54
brands sustainability partnerships collaborations,0,218,0%,9.49
"i live in australia. list brands in hair stylers that have successfully 
utilized influencer marketing or brand ambassador programs to enhance their 
visibility. in australia",0,190,0%,8.04
what does paid partnership mean on tiktok,0,168,0%,10.48
skincare pr list,0,154,0%,30.79
brands that send pr to small influencers,0,116,0%,33.41
pr collab forms,0,110,0%,12.42
"i live in australia. list brands in moisturising shampoo that have 
successfully utilized influencer marketing or brand ambassador programs to 
enhance their visibility. in australia",0,104,0%,4.55
gaming brand ambassador programs for influencers with 10k followers,0,93,0%,21.87
pr packages for micro influencers,0,85,0%,16.16
influencer pr list requirements,0,83,0%,14.78
"i live in australia. list brands in hair multi-stylers and dryers that have 
successfully utilized influencer marketing or brand ambassador programs to 
enhance their visibility. in australia",0,74,0%,10.8
skincare pr,0,73,0%,40.88
#newcollab,0,63,0%,7.17
how to get pr package with less followers,0,63,0%,18.49
pr email template,0,63,0%,60.59
new collab,0,59,0%,8.56
paid partnership meaning,0,55,0%,13.36
k-beauty pr application forms,0,52,0%,11.83
how to get pr packages australia,0,46,0%,7.67
influencer verification checklist,0,44,0%,67.16
beauty brand pr opportunities,0,43,0%,11.26
pr packages for small creators,0,43,0%,14.28
paid partnership,0,40,0%,54.5
brands to ask for pr packages australia,0,39,0%,2.49
small brands that send pr,0,32,0%,10.97
instagram reels monetization october 2025,0,31,0%,9.74
pr list for clothing,0,27,0%,2.89
brands that send free pr packages to micro influencers 2025,0,27,0%,9.15
tiktok paid partnership meaning,0,26,0%,10.92
brands that send pr with no followers,0,26,0%,13.19
pr emails,0,25,0%,37.04
pr list for brands,0,24,0%,7.29
